Comment ID,Comment Text,Sentiment
1,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
2,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
3,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
4,The product quality is poor and the experience has been frustrating from the beginning.,Negative
5,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
6,The product quality is poor and the experience has been frustrating from the beginning.,Negative
7,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
8,The product quality is poor and the experience has been frustrating from the beginning.,Negative
9,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
10,The product quality is poor and the experience has been frustrating from the beginning.,Negative
11,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
12,The product quality is poor and the experience has been frustrating from the beginning.,Negative
13,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
14,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
15,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
16,The product quality is poor and the experience has been frustrating from the beginning.,Negative
17,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
18,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
19,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
20,The product quality is poor and the experience has been frustrating from the beginning.,Negative
21,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
22,The product quality is poor and the experience has been frustrating from the beginning.,Negative
23,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
24,The product quality is poor and the experience has been frustrating from the beginning.,Negative
25,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
26,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
27,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
28,The product quality is poor and the experience has been frustrating from the beginning.,Negative
29,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
30,The product quality is poor and the experience has been frustrating from the beginning.,Negative
31,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
32,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
33,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
34,The product quality is poor and the experience has been frustrating from the beginning.,Negative
35,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
36,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
37,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
38,The product quality is poor and the experience has been frustrating from the beginning.,Negative
39,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
40,The product quality is poor and the experience has been frustrating from the beginning.,Negative
41,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
42,The product quality is poor and the experience has been frustrating from the beginning.,Negative
43,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
44,The product quality is poor and the experience has been frustrating from the beginning.,Negative
45,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
46,The product quality is poor and the experience has been frustrating from the beginning.,Negative
47,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
48,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
49,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
50,The product quality is poor and the experience has been frustrating from the beginning.,Negative
51,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
52,The product quality is poor and the experience has been frustrating from the beginning.,Negative
53,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
54,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
55,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
56,The product quality is poor and the experience has been frustrating from the beginning.,Negative
57,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
58,The product quality is poor and the experience has been frustrating from the beginning.,Negative
59,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
60,The product quality is poor and the experience has been frustrating from the beginning.,Negative
61,"I have been using this service for a long time and I am extremely satisfied with the performance, features, and overall experience.",Positive
62,The product quality is poor and the experience has been frustrating from the beginning.,Negative
63,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
64,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
65,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
66,I am very disappointed with this service as it frequently crashes and does not meet expectations at all.,Negative
67,This product exceeded my expectations and I really appreciate the quality and customer support provided.,Positive
